"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"CO-DC1","CN=CO-DC1,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-DC03","CN=CO-DC03,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-DC04","CN=CO-DC04,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-VM-DC02","CN=CO-VM-DC02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"D2-DC01","CN=D2-DC01,OU=Domain Controllers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-DC01","CN=DC-DC01,OU=Domain Controllers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-TS2","CN=CO-TS2,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"ULK1-POS","CN=ULK1-POS,OU=Ulyanovsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server® 2008 Standard","Service Pack 2","6.0 (6002)"
"CO-TS02","CN=CO-TS02,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"DAG","CN=DAG,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local",,,
"CO-EXCH2","CN=CO-EXCH2,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-EXCH","CN=CO-EXCH,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-FS03","CN=CO-FS03,OU=File Servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-NETSHOP","CN=CO-NETSHOP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-LOG01","CN=DC-LOG01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-MAIL","CN=CO-MAIL,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-COM-WW-63","CN=CO-COM-WW-63,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"LIP1-POS-02","CN=LIP1-POS-02,OU=Lipetsk1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"vmhost01","CN=vmhost01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local",,,
"UFA1-TS","CN=UFA1-TS,OU=Ufa1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"SPB4-TS","CN=SPB4-TS,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"VOR1-POS","CN=VOR1-POS,OU=Voronezh1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"NOV1-POS","CN=NOV1-POS,OU=Nizhniy_Novgorod1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"KST2-POS","CN=KST2-POS,OU=Kostroma2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"VOL1-POS","CN=VOL1-POS,OU=Volgograd1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"UFA1-POS-02","CN=UFA1-POS-02,OU=Ufa1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"SPB4-POS","CN=SPB4-POS,OU=Saint_Peterburg4,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-TMG","CN=CO-TMG,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-TMG2","CN=CO-TMG2,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-KAV","CN=CO-KAV,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"SRV2008VCENTER","CN=SRV2008VCENTER,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
