SamAccountName; City; StreetAddress; physicalDeliveryOfficeName; info; Company; PostalCode
izh1; Ижевск; ул.Удмуртская д. 304;" ТЦ ""Аврора - Парк"""; этаж 2;" АО ""Одежда 3000"""; 
yar2; Ярославль; ул. Ленинградский проспект д. 123;" ТРК ""Альтаир"""; этаж 1;" АО ""Одежда 3000""";150060
che1; Челябинск; ул. Сони Кривой д.26; ТЦ Школьник; этаж 2;" АО ""Одежда 3000"""; 
spb2; Санкт-Петербург; Ленинский пр-т д. 100 корп 1;" ТЦ ""Фиолент"""; этаж 2;" АО ""Одежда 3000""";198332
kaz1; Казань; пр-т Хусаина Ямашева д. 46/33; молл Парк Хаус; этаж 2;" АО ""Одежда 3000""";420126
sta1; Ставрополь; ул. Краснофлотская д. 91;" ТЦ ""Ниагара"""; этаж 2;" АО ""Одежда 3000""";355003
sam1; Самара; ул. Дыбенко д. 30;" ТРК ""КОСМОПОРТ"""; этаж 1;" АО ""Одежда 3000""";443045
vor1; Воронеж; пр-т Патриотов д. 3 корп А.;" ТЦ ""Юго-Запад"""; этаж 2;" АО ""Одежда 3000""";394065
ekb2; Екатеринбург; ул.Халтурина д. 55А ; ТЦ Карнавал; ;" АО ""Одежда 3000"""; 
mos1; Москва; Пятницкое шоссе д. 43;" ТД ""Огни Столицы"""; этаж 2;" АО ""Одежда 3000"""; 
nov1; Нижний Новгород; ул.Родионова д. 187 В; ТРЦ Фантастика; этаж 2;" АО ""Одежда 3000"""; 
vol1; Волгоград; ул. Историческая д. 175;" ТЦ ""Ашан"""; ;" АО ""Одежда 3000""";400048
lip1; Липецк; ул. Героя России Эдуарда Белана д. 26; ТЦ АШАН; этаж 1;" АО ""Одежда 3000"""; 
ufa1; Уфа; ул. Академика Королева д. 14;" ТЦ ""Звездный"""; ;" АО ""Одежда 3000""";450105
spb3; Санкт-Петербург; ул. Торфяная дорога д. 7  лит. Б;" ТЦ ""Гулливер"""; этаж 2;" АО ""Одежда 3000""";197374
spb4; Санкт-Петербург; Коломяжный проспект д. 17 корп.1 лит.А;" ТЦ ""Сити Молл"""; этаж 2;" АО ""Одежда 3000""";197341
kst2; Кострома; м/р-н 3-й Давыдовский д. 32;" ТЦ ""Авокадо"""; ;" АО ""Одежда 3000""";156016
ksd1; Краснодар; ул.Дзержинского д. 100;" Мегацентр ""Красная площадь"""; ;" АО ""Одежда 3000""";350005
vor2; Воронеж; ул. 20 лет Октября д. 90 ;" ТЦ Пассаж ""Солнечный рай"" "; ;" АО ""Одежда 3000""";394006
nvs1; Новороссийск; Анапское шоссе д. 2; ТЦ Красная площадь; ;" АО ""Одежда 3000""";353900
mos2; Москва; ул. Воронцовская д. 49/28;" ТЦ ""Сотый"""; ;" АО ""Одежда 3000""";109147
tam2; Тамбов; ул. Советская  д. 194Б ;" ТЦ ""Реал"""; ;" АО ""Одежда 3000"""; 
ivn1; Иваново; ул. Куконковых д. 141;" ТЦ ""Реал"""; ;" АО ""Одежда 3000""";153013
tol4; Тольятти; ул. Революционная д. 52А; ТРК РУСЬ НА ВОЛГЕ ; ;" АО ""Одежда 3000""";445026
vor3; Воронеж; Ленинский пр-т  д. 174/П;" ТРЦ ""МАКСИМИР""  "; ;" АО ""Одежда 3000""";394063
spb5; Санкт-Петербург; Проспект Просвещения д. 19А;" ТЦ ""Норд"""; ;" АО ""Одежда 3000""";194355
