name,code
AZV1,6101
ARZ1,5204
ARM1,2301
ARH2,2902
AST1,3001
AST2,3002
BRL1,2201
BEL1,3101
VNG1,5301
VOL1,3402
VOL3,3403
VOL4,3404
VOL5,3405
VLZ1,3401
VLG1,3502
VLG2,3504
VOR1,3601
VOR2,3602
VOR3,3603
VOR4,3604
DZR1,5201
EKB2,6601
EKB4,6602
EKB5,6603
EKB7,6605
IVN1,3701
IVN2,3702
IZH1,1801
IZH2,1802
YSH1,1201
KAZ1,1601
KAZ4,1602
KEM1,4201
KIR1,4301
KLI1,5007
KST2,4401
KSD1,2302
KSD2,2303
KSD3,2304
KSD4,2305
KSN3,2402
KRN1,4501
KRS2,4601
KRS3,4602
LIP1,4801
LIP2,4802
MGN1,7403
MGN2,7404
MOS1,7701
MOS2,7702
MOS4,7703
MOS7,7706
MOS8,7707
MOS9,7708
MS10,7709
MS11,7710
MS12,7711
MS13,7712
MS14,7713
NAL1,0701
NEV1,2601
NKM1,1603
NOV1,5202
NOV2,5203
NOV3,5205
NKZ2,4203
NKZ3,4205
NVS1,2306
NSB2,5401
NSB3,5402
NGK1,5005
NMS1,7104
OMS1,5501
ORL1,5701
ORB1,5601
ORS1,5602
PNZ1,5801
PNZ2,5802
PER2,5902
PTZ1,1001
PTG2,2602
REU2,5004
ROS1,6102
ROS2,6103
RYZ2,6201
RYZ3,6202
SAM1,6301
SAM5,6303
SAR2,6402
SAR3,6403
SML1,6701
SML2,6702
SCH1,2307
SP10,7809
SP11,7810
SP12,7811
SP13,7812
SP14,7813
SP15,7814
SP16,7815
SP17,7816
SPB2,7801
SPB3,7802
SPB4,7803
SPB5,7804
SPB6,7805
SPB7,7806
SPB8,7807
SPB9,7808
STA1,2603
STA2,2604
STT1,0203
SRG1,8601
STK1,1101
TGN1,6104
TAM2,6801
TAM3,6802
TVR2,6901
TOL4,6304
TOL5,6305
TUL2,7102
TUL3,7103
TUM2,7201
TUM3,7202
ULK1,7301
UFA1,0201
UFA2,0202
UFA3,0205
UFA4,0204
UFA5,0206
UFA6,0207
CHE1,2101
CHL1,7401
CHL3,7402
CHR1,3501
YAR2,7601
